"CDSID","ortholog","AssociatedFunction"
"LBRM2904_35.2740 (old tag= -)","aa-Thr","tRNA"
"LBRM2904_35.2750 (old tag= -)","aa-Gly","tRNA"
"LBRM2904_35.2760 (old tag= LbrM.35.2770)","LmjF.36.2560","hypothetical protein, conserved"
"LBRM2904_35.2770 (old tag= LbrM.35.2780)","LmjF.36.2550","hypothetical protein, conserved"
"LBRM2904_35.2780 (old tag= LbrM.35.2790)","LmjF.36.2580","related to multifunctional cyclin-dependent kinase pho85-like protein"
"LBRM2904_35.2790 (old tag= LbrM.35.2800)","LmjF.36.2590","membrane-bound acid phosphatase 2, putative"
"LBRM2904_35.2800 (old tag= LbrM.35.2810)","LmjF.36.2600","cyclin-e binding protein 1-like protein"
"LBRM2904_35.2810 (old tag= LbrM.35.2820)","LmjF.36.2610","folylpolyglutamate synthetase"
"LBRM2904_35.2820 (old tag= LbrM.35.2830)","LmjF.36.2620","VRR-NUC domain containing protein, putative"
"LBRM2904_35.2830 (old tag= LbrM.35.2840)","LmjF.36.2630","protein kinase, putative"
"LBRM2904_35.2840 (old tag= LbrM.35.2850)","LmjF.36.2640","hypothetical protein, conserved"
"LBRM2904_35.2850 (old tag= LbrM.35.2860)","LmjF.36.2650","Methyltransferase domain containing protein, putative"
"LBRM2904_35.2860 (old tag= LbrM.35.2870)","LmjF.36.2660","dihydrolipoamide acetyltransferase precursor, putative"
"LBRM2904_35.2870 (old tag= LbrM.35.2880)","LmjF.36.2670","Calcineurin-like phosphoesterase superfamily domain containing protein, putative"
"LBRM2904_35.2880 (old tag= LbrM.35.2940)","LmjF.36.2680","hypothetical protein, conserved"
"LBRM2904_35.2890 (old tag= LbrM.35.2930)","LmjF.36.2685","Pentapeptide repeats (8 copies)/Pentapeptide repeats (9 copies), putative"
"LBRM2904_35.2900 (old tag= LbrM.35.2920)","LmjF.36.2690","hypothetical protein, conserved"
"LBRM2904_35.2910 (old tag= LbrM.35.2910)","LmjF.36.2700","hypothetical protein, conserved"
"LBRM2904_35.2920 (old tag= LbrM.35.2900)","LmjF.36.2710","metallo-peptidase, Clan MA(E) Family M41"
"LBRM2904_35.2930 (old tag= LbrM.35.2890)","LmjF.36.2720","transportin2-like protein"
"LBRM2904_35.2940 (old tag= LbrM.35.2950)","LmjF.36.2730","D-tyrosyl-tRNA deacylase, putative"
"LBRM2904_35.2950 (old tag= LbrM.35.2960)","LmjF.36.2740","hypothetical protein, conserved"
"LBRM2904_35.2960 (old tag= LbrM.35.2970)","LmjF.36.2750","acetyltransferase-like protein"
"LBRM2904_35.2970 (old tag= LbrM.35.2980)","LmjF.36.2760","Nodulin-like/Major Facilitator Superfamily, putative"
"LBRM2904_35.2980 (old tag= -)","-","hypothetical protein"
"LBRM2904_35.2990 (old tag= LbrM.35.2990)","LmjF.36.2770","hypothetical protein, conserved"
"LBRM2904_35.3000 (old tag= LbrM.35.3000)","LmjF.36.2780","hypothetical protein, conserved"
"LBRM2904_35.3010 (old tag= LbrM.35.3010)","LmjF.36.2790","Flagellar Member 1"
"LBRM2904_35.3020 (old tag= LbrM.35.3020)","LmjF.36.2800","hypothetical protein, conserved"
"LBRM2904_35.3030 (old tag= LbrM.35.3030)","LmjF.36.2810","hypothetical protein, conserved"
"LBRM2904_35.3040 (old tag= LbrM.35.3040)","LmjF.36.2820","hypothetical protein, conserved"
"LBRM2904_35.3050 (old tag= LbrM.35.3050)","LmjF.36.2830","pre-mRNA splicing factor ATP-dependent RNA helicase, putative"
"LBRM2904_35.3060 (old tag= LbrM.35.3060)","LmjF.36.2840","Phytochelatin synthase, putative"
"LBRM2904_35.3070 (old tag= LbrM.35.3070)","LmjF.36.2845","hypothetical protein, conserved"
"LBRM2904_35.3080 (old tag= LbrM.35.3090)","LmjF.36.2860,LmjF.36.2870","40S ribosomal protein S24e"
"LBRM2904_35.3090 (old tag= LbrM.35.3090)","LmjF.36.2860,LmjF.36.2870","40S ribosomal protein S24e"
"LBRM2904_35.3100 (old tag= LbrM.35.3100)","LmjF.36.2880","hypothetical protein, conserved"
"LBRM2904_35.3110 (old tag= LbrM.35.3110)","LmjF.36.2890","ATP-binding cassette protein subfamily G, member 6, putative"
"LBRM2904_35.3120 (old tag= LbrM.35.3120)","LmjF.36.2900","hypothetical protein, conserved"
"LBRM2904_35.3130 (old tag= LbrM.35.3130)","LmjF.36.2910","hypothetical protein, conserved"
"LBRM2904_35.3140 (old tag= LbrM.35.3140)","LmjF.36.2920","PHF5-like protein, putative"
"LBRM2904_35.3150 (old tag= LbrM.35.3150)","LmjF.36.2930","predicted zinc finger protein"
"LBRM2904_35.3160 (old tag= -)","LmjF.36.2940","Phosphatidylinositol 3- and 4-kinase, putative"
"LBRM2904_35.3170 (old tag= -)","LmjF.36.2940","NUC194 domain containing protein, putative"
"LBRM2904_35.3180 (old tag= -)","LmjF.36.2940","hypothetical protein, conserved"
"LBRM2904_35.3190 (old tag= LbrM.35.3170)","LmjF.36.2950","succinyl-CoA ligase [GDP-forming] beta-chain, putative"
"LBRM2904_35.3200 (old tag= LbrM.35.3180)","LmjF.36.2960","hypothetical protein, conserved"
"LBRM2904_35.3210 (old tag= LbrM.35.3190)","LmjF.36.2970","hypothetical protein, conserved"
"LBRM2904_35.3220 (old tag= LbrM.35.3200)","LmjF.36.2980","bromodomain factor 2 protein, putative"
"LBRM2904_35.3230 (old tag= LbrM.35.3210)","LmjF.36.2990","GTP-binding protein, putative"
"LBRM2904_35.3240 (old tag= LbrM.35.3220)","LmjF.36.3000","ATP-dependent RNA helicase, putative"
"LBRM2904_35.3250 (old tag= LbrM.35.3230)","LmjF.36.3010","glutathione peroxidase, putative"
"LBRM2904_35.3260 (old tag= LbrM.35.3240)","LmjF.36.3020","exosome complex exonuclease RRP41A"
"LBRM2904_35.3270 (old tag= LbrM.35.3250)","LmjF.36.3030","clathrin coat assembly protein-like protein"
"LBRM2904_35.3280 (old tag= LbrM.35.3260)","LmjF.36.3040","pre-mRNA branch site protein p14, putative"
"LBRM2904_35.3290 (old tag= LbrM.35.3270)","LmjF.36.3050","hypothetical protein, conserved"
"LBRM2904_35.3300 (old tag= LbrM.35.3280)","LmjF.36.3060","cullin-like protein"
"LBRM2904_35.3310 (old tag= LbrM.35.3290)","LmjF.36.3070","fibrillarin"
"LBRM2904_35.3320 (old tag= LbrM.35.3300)","LmjF.36.3080","Octanoyltransferase, putative"
"LBRM2904_35.3330 (old tag= LbrM.35.3310)","LmjF.36.3090","hypothetical protein, conserved"
"LBRM2904_35.3340 (old tag= -)","-","hypothetical protein"
"LBRM2904_35.3350 (old tag= LbrM.35.3320)","LmjF.36.3100","ATP synthase, putative"
"LBRM2904_35.3360 (old tag= -)","-","hypothetical protein"
"LBRM2904_35.3370 (old tag= LbrM.35.3330)","LmjF.36.3110","hypothetical protein, conserved"
"LBRM2904_35.3380 (old tag= LbrM.35.3340)","LmjF.36.3120","hypothetical protein, conserved"
"LBRM2904_35.3390 (old tag= LbrM.35.3350)","LmjF.36.3130","cyclophilin 10, putative"
"LBRM2904_35.3400 (old tag= LbrM.35.3360)","LmjF.36.3140","hypothetical protein, conserved"
"LBRM2904_35.3410 (old tag= -)","-","hypothetical protein"
"LBRM2904_35.3420 (old tag= LbrM.35.3370)","LmjF.36.3150","ADP-ribosylation factor GTPase activating protein, putative"
"LBRM2904_35.3430 (old tag= LbrM.35.3380)","LmjF.36.3160","Tubulin binding cofactor C, putative"
"LBRM2904_35.3440 (old tag= LbrM.35.3390)","LmjF.36.3170","CobW/HypB/UreG, nucleotide-binding domain containing protein, putative"
"LBRM2904_35.3450 (old tag= LbrM.35.3400)","LmjF.36.3180","receptor-type adenylate cyclase a-like protein"
"LBRM2904_35.3460 (old tag= -)","-","hypothetical protein"
"LBRM2904_35.3470 (old tag= LbrM.35.3410)","LmjF.36.3190","nucleic acid binding protein, putative"
"LBRM2904_35.3480 (old tag= LbrM.35.3420)","LmjF.36.3200","DNA topoisomerase III, putative"
"LBRM2904_35.3490 (old tag= LbrM.35.3430)","LmjF.36.3210","14-3-3 protein 1, putative"
"LBRM2904_35.3500 (old tag= LbrM.35.3440)","LmjF.36.3220","hypothetical protein, conserved"
"LBRM2904_35.3510 (old tag= LbrM.35.3450)","LmjF.36.3230","oxidoreductase, putative"
"LBRM2904_35.3520 (old tag= LbrM.35.3460)","LmjF.36.3235","hypothetical protein, conserved"
"LBRM2904_35.3530 (old tag= LbrM.35.3470)","LmjF.36.3240","hypothetical protein, conserved"
"LBRM2904_35.3540 (old tag= LbrM.35.3480)","LmjF.36.3250","Fungal domain of unknown function (DUF1712), putative"
"LBRM2904_35.3550 (old tag= LbrM.35.3490)","LmjF.36.3260","hypothetical protein, conserved"
"LBRM2904_35.3560 (old tag= LbrM.35.3500)","LmjF.36.3270","60S ribosomal protein L22, putative"
"LBRM2904_35.3570 (old tag= LbrM.35.3510)","LmjF.36.3280","Enoyl-CoA hydratase/isomerase family/2-enoyl-CoA Hydratase C-terminal region containing protein, putative"
"LBRM2904_35.3580 (old tag= LbrM.35.3520)","LmjF.36.3290","Macro domain containing protein, putative"
"LBRM2904_35.3590 (old tag= -)","-","hypothetical protein"
"LBRM2904_35.3600 (old tag= LbrM.35.3530)","LmjF.36.3300","hypothetical protein, conserved"
"LBRM2904_35.3610 (old tag= LbrM.35.3540)","LmjF.36.3310","actin-like protein, putative"
"LBRM2904_35.3620 (old tag= LbrM.35.3550)","LmjF.36.3320","hypothetical protein, conserved"
"LBRM2904_35.3630 (old tag= LbrM.35.3560)","LmjF.36.3330","hypothetical protein, conserved"
"LBRM2904_35.3640 (old tag= LbrM.35.3570)","LmjF.36.3340","Protein of unknown function (DUF3595), putative"
"LBRM2904_35.3650 (old tag= LbrM.35.3580)","LmjF.36.3350","hypothetical protein, conserved"
"LBRM2904_35.3660 (old tag= -)","-","hypothetical protein"
"LBRM2904_35.3670 (old tag= LbrM.35.3590)","LmjF.36.3360","Bromodomain, putative"
"LBRM2904_35.3680 (old tag= LbrM.35.3600)","LmjF.36.3370","hypothetical protein, conserved"
"LBRM2904_35.3690 (old tag= LbrM.35.3610)","LmjF.36.3380","hypothetical protein, conserved"
"LBRM2904_35.3700 (old tag= LbrM.35.3620)","LmjF.36.3390,LmjF.36.3400","ribosomal protein L29, putative"
"LBRM2904_35.3710 (old tag= LbrM.35.3640)","LmjF.36.3410","short chain dehydrogenase-like protein"
"LBRM2904_35.3720 (old tag= LbrM.35.3650)","LmjF.36.3420","vacuolar protein sorting-associated protein-like protein"
"LBRM2904_35.3730 (old tag= LbrM.35.3660)","LmjF.36.3430","CRAL/TRIO domain containing protein, putative"
"LBRM2904_35.3740 (old tag= LbrM.35.3670)","LmjF.36.3440","class-E vacuolar protein-sorting protein 24 (Vps24p), putative"
"LBRM2904_35.3750 (old tag= LbrM.35.3680)","LmjF.36.3450","glycosyl transferase-like protein"
"LBRM2904_35.3760 (old tag= LbrM.35.3690)","LmjF.36.3460","NIPSNAP, putative"
"LBRM2904_35.3770 (old tag= LbrM.35.3700)","LmjF.36.3470","2-oxoglutarate dehydrogenase subunit, putative"
"LBRM2904_35.3780 (old tag= LbrM.35.3700)","LmjF.36.3470","2-oxoglutarate dehydrogenase subunit, putative"
"LBRM2904_35.3790 (old tag= -)","-","hypothetical protein"
"LBRM2904_35.3800 (old tag= LbrM.35.3710)","LmjF.36.3480","Small acidic protein family, putative"
"LBRM2904_35.3810 (old tag= LbrM.35.3720)","LmjF.36.3490","Protein of unknown function (DUF2870), putative"
"LBRM2904_35.3820 (old tag= LbrM.35.3730)","LmjF.36.3500","hypothetical protein, conserved"
"LBRM2904_35.3830 (old tag= LbrM.35.3740)","LmjF.36.3510","hypothetical protein, conserved"
"LBRM2904_35.3840 (old tag= LbrM.35.3750)","LmjF.36.3520","NADH-ubiquinone oxidoreductase complex I subunit, putative"
"LBRM2904_35.3850 (old tag= LbrM.35.3760)","LmjF.36.3530","polyubiquitin, putative"
"LBRM2904_35.3860 (old tag= LbrM.26.2680)","-","Ubiquitin-2 like Rad60 SUMO-like/Telomere stability and silencing/Ubiquitin family/Ubiquitin-like domain containing protein, putative"
"LBRM2904_35.3870 (old tag= LbrM.26.2680)","-","Ubiquitin-2 like Rad60 SUMO-like/Telomere stability and silencing/Ubiquitin family/Ubiquitin-like domain containing protein, putative"
"LBRM2904_35.3880 (old tag= LbrM.26.2680)","LmjF.36.3530","polyubiquitin, putative"
"LBRM2904_35.3890 (old tag= LbrM.35.3770)","LmjF.36.3540","Domain of unknown function (DUF3846)/TPR repeat, putative"
"LBRM2904_35.3900 (old tag= LbrM.35.3780)","LmjF.36.3550","hypothetical protein, conserved"
"LBRM2904_35.3910 (old tag= LbrM.35.3790)","LmjF.36.3560","phytoene synthase, putative"
"LBRM2904_35.3920 (old tag= LbrM.35.3800)","LmjF.36.3570","signal recognition particle receptor like protein, putative"
"LBRM2904_35.3930 (old tag= LbrM.35.3810)","LmjF.36.3580","Protein of unknown function (DUF2009), putative"
"LBRM2904_35.3940 (old tag= LbrM.35.3820)","LmjF.36.3590","cysteine synthase"
"LBRM2904_35.3950 (old tag= LbrM.35.3830)","LmjF.36.3600","hypothetical protein, conserved"
"LBRM2904_35.3960 (old tag= LbrM.35.3840)","LmjF.36.3610","hypothetical protein, conserved"
"LBRM2904_35.3970 (old tag= LbrM.35.3850)","LmjF.36.3620","EF-hand domain pair, putative"
"LBRM2904_35.3980 (old tag= LbrM.35.3860)","LmjF.36.3630","hypothetical protein, conserved"
"LBRM2904_35.3990 (old tag= LbrM.35.3870)","LmjF.36.3640","hypothetical protein, conserved"
"LBRM2904_35.4000 (old tag= LbrM.35.3880)","LmjF.36.3650","WD domain, G-beta repeat, putative"
"LBRM2904_35.4010 (old tag= LbrM.35.3881)","LmjF.36.3653","hypothetical protein, conserved"
"LBRM2904_35.4020 (old tag= LbrM.35.3890)","LmjF.36.3660","NUDIX hydrolase 3, putative"
"LBRM2904_35.4030 (old tag= LbrM.35.3900)","LmjF.36.3670","hypothetical protein, conserved"
"LBRM2904_35.4040 (old tag= LbrM.35.3910)","LmjF.36.3675","calmodulin, putative"
"LBRM2904_35.4050 (old tag= LbrM.35.3920)","LmjF.36.3680","mitogen activated kinase-like protein"
"LBRM2904_35.4060 (old tag= LbrM.35.3930)","LmjF.36.3690","hypothetical protein, conserved"
"LBRM2904_35.4070 (old tag= LbrM.35.3940)","LmjF.36.3700","hypothetical protein, conserved"
"LBRM2904_35.4080 (old tag= LbrM.35.3950)","LmjF.36.3710","hypothetical protein, conserved"
"LBRM2904_35.4090 (old tag= LbrM.35.3960)","LmjF.36.3720","Protein of unknown function (DUF498/DUF598), putative"
"LBRM2904_35.4100 (old tag= LbrM.35.3970)","LmjF.36.3730","tRNA intron endonuclease, catalytic C-terminal domain containing protein, putative"
"LBRM2904_35.4110 (old tag= LbrM.35.3980)","LmjF.36.3740","60S ribosomal protein L34, putative"
"LBRM2904_35.4120 (old tag= LbrM.35.3990)","LmjF.36.3750","Ribosomal protein S27, putative"
"LBRM2904_35.4130 (old tag= LbrM.35.4000)","LmjF.36.3760","60S ribosomal protein L10a, putative"
"LBRM2904_35.4140 (old tag= LbrM.35.4010)","LmjF.36.3770","transcription factor btf3, putative"
"LBRM2904_35.4150 (old tag= LbrM.35.4020)","LmjF.36.3780","MORN repeat, putative"
"LBRM2904_35.4160 (old tag= LbrM.35.4030)","LmjF.36.3790","hypothetical protein, conserved"
"LBRM2904_35.4170 (old tag= LbrM.35.4040)","LmjF.36.3800,LmjF.36.3810","aminomethyltransferase, mitochondrial, putative"
"LBRM2904_35.4180 (old tag= LbrM.35.4050)","LmjF.36.3820","hypothetical protein, conserved"
"LBRM2904_35.4190 (old tag= LbrM.35.4060)","LmjF.36.3830","Zinc finger, C3HC4 type (RING finger) containing protein, putative"
"LBRM2904_35.4200 (old tag= LbrM.35.4070)","LmjF.36.3840","glycyl tRNA synthetase, putative"
"LBRM2904_35.4210 (old tag= LbrM.35.4080)","LmjF.36.3850","Snf7, putative"
"LBRM2904_35.4220 (old tag= LbrM.35.4090)","LmjF.36.3860","similar to leishmania major. l411.4-like protein"
"LBRM2904_35.4230 (old tag= LbrM.35.4100)","LmjF.36.3870","hypothetical protein, conserved"
"LBRM2904_35.4240 (old tag= LbrM.35.4110)","LmjF.36.3880","eukaryotic translation initiation factor 3 subunit 2, putative"
"LBRM2904_35.4250 (old tag= LbrM.35.4120)","LmjF.36.3890","hypothetical protein, conserved"
"LBRM2904_35.4260 (old tag= -)","-","hypothetical protein"
"LBRM2904_35.4270 (old tag= LbrM.35.4130)","LmjF.36.3900","hypothetical protein, conserved"
"LBRM2904_35.4280 (old tag= LbrM.35.4140)","LmjF.36.3910","S-adenosylhomocysteine hydrolase"
"LBRM2904_35.4290 (old tag= LbrM.35.4160)","LmjF.36.3920","hypothetical protein, conserved"
"LBRM2904_35.4300 (old tag= LbrM.35.4170)","LmjF.36.3930","telomerase reverse transcriptase, putative"
"LBRM2904_35.4310 (old tag= LbrM.35.4180)","LmjF.36.3940","hypothetical protein, conserved"
"LBRM2904_35.4320 (old tag= LbrM.35.4190)","LmjF.36.3950","hypothetical protein, conserved"
"LBRM2904_35.4330 (old tag= LbrM.35.4200)","LmjF.36.3960","hypothetical protein, conserved"
"LBRM2904_35.4340 (old tag= LbrM.35.4210)","LmjF.36.3970","hypothetical protein, conserved"
"LBRM2904_35.4350 (old tag= -)","-","hypothetical protein"
"LBRM2904_35.4360 (old tag= LbrM.35.4220)","LmjF.36.3980","RNA polymerase-associated protein CDC73, putative"
"LBRM2904_35.4370 (old tag= LbrM.35.4230)","LmjF.36.3990","hslVU complex proteolytic subunit, threonine peptidase, Clan T(1), family T1B"
"LBRM2904_35.4380 (old tag= -)","LmjF.36.ncRNA1","hypothetical protein"
"LBRM2904_35.4390 (old tag= LbrM.35.4240)","LmjF.36.4000","hypothetical protein, conserved"
"LBRM2904_35.4400 (old tag= LbrM.35.4250)","LmjF.36.4010","hypothetical protein, conserved"
"LBRM2904_35.4410 (old tag= LbrM.35.4260)","LmjF.36.4020","Golgi SNAP receptor complex member 1, putative"
"LBRM2904_35.4420 (old tag= LbrM.35.4270)","LmjF.36.4030","zinc carboxypeptidase, putative"
"LBRM2904_35.4430 (old tag= LbrM.35.4280)","LmjF.36.4040","hypothetical protein, conserved"
"LBRM2904_35.4440 (old tag= LbrM.35.4300)","LmjF.36.4060","Regulator of chromosome condensation (RCC1) repeat, putative"
"LBRM2904_35.4450 (old tag= LbrM.35.4310)","LmjF.36.4070","phosphoglycerate mutase family member 5, putative"
"LBRM2904_35.4460 (old tag= LbrM.35.4320)","LmjF.36.4080","IQ calmodulin-binding motif containing protein, putative"
"LBRM2904_35.4470 (old tag= LbrM.35.4340)","LmjF.36.4100","glycosyl hydrolase-like protein"
"LBRM2904_35.4480 (old tag= LbrM.35.4350)","LmjF.36.4110","hypothetical protein, conserved"
"LBRM2904_35.4490 (old tag= LbrM.35.4360)","LmjF.36.4120","hypothetical protein, conserved"
"LBRM2904_35.4500 (old tag= LbrM.35.4370)","LmjF.36.4130","Amastin surface glycoprotein, putative"
"LBRM2904_35.4510 (old tag= LbrM.35.4380)","LmjF.36.4140","Amastin surface glycoprotein, putative"
"LBRM2904_35.4520 (old tag= LbrM.35.4390)","LmjF.36.4145","DNA-directed RNA polymerase I subunit, putative"
"LBRM2904_35.4530 (old tag= LbrM.35.4400)","LmjF.36.4150","hypothetical protein, conserved"
"LBRM2904_35.4540 (old tag= LbrM.35.4410)","LmjF.36.4160","hypothetical protein, conserved"
"LBRM2904_35.4550 (old tag= LbrM.35.4420)","LmjF.36.4170","oxidoreductase, putative"
"LBRM2904_35.4560 (old tag= LbrM.35.4430)","LmjF.36.4180","UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase, putative"
"LBRM2904_35.4570 (old tag= LbrM.35.4440)","LmjF.36.4190","GINS complex protein, putative"
"LBRM2904_35.4580 (old tag= LbrM.35.4450)","LmjF.36.4200","Arrestin N terminal like, putative"
"LBRM2904_35.4590 (old tag= LbrM.35.4460)","LmjF.36.4210","WD domain, G-beta repeat/Utp21 specific WD40 associated putative domain containing protein, putative"
"LBRM2904_35.4600 (old tag= LbrM.35.4470)","LmjF.36.4220","hypothetical protein, conserved"
"LBRM2904_35.4610 (old tag= LbrM.35.4480)","LmjF.36.4230","paraflagellar rod component, putative"
"LBRM2904_35.4620 (old tag= LbrM.35.4490)","LmjF.36.4240","WD domain, G-beta repeat, putative"
"LBRM2904_35.4630 (old tag= LbrM.35.4500)","LmjF.36.4250","serine/threonine kinase, putative"
"LBRM2904_35.4640 (old tag= LbrM.35.4510)","LmjF.36.4260","hypothetical protein, conserved"
"LBRM2904_35.4650 (old tag= LbrM.35.4520)","LmjF.36.4270","hypothetical protein, conserved"
"LBRM2904_35.4660 (old tag= -)","-","hypothetical protein"
"LBRM2904_35.4670 (old tag= LbrM.35.4520)","LmjF.36.4270","hypothetical protein, conserved"
"LBRM2904_35.4680 (old tag= LbrM.35.4530)","LmjF.36.4280","hypothetical protein, conserved"
"LBRM2904_35.4690 (old tag= LbrM.35.4540)","LmjF.36.4290","ADP-ribosylation factor family, putative"
"LBRM2904_35.4700 (old tag= LbrM.35.4550)","LmjF.36.4310","hypothetical protein, conserved"
"LBRM2904_35.4710 (old tag= -)","-","C2 domain containing protein, putative"
"LBRM2904_35.4720 (old tag= LbrM.35.4560)","LmjF.36.4320","predicted C2 domain protein"
"LBRM2904_35.4730 (old tag= -)","-","hypothetical protein"
"LBRM2904_35.4740 (old tag= LbrM.35.4570)","LmjF.36.4330","predicted C2 domain protein"
"LBRM2904_35.4750 (old tag= LbrM.35.4580)","LmjF.36.4340","hypothetical protein, conserved"
"LBRM2904_35.4760 (old tag= LbrM.35.4590)","LmjF.36.4350","hypothetical protein, conserved"
"LBRM2904_35.4770 (old tag= LbrM.35.4600)","LmjF.36.4360","19S proteasome regulatory subunit"
"LBRM2904_35.4780 (old tag= LbrM.35.4610)","LmjF.36.4370","ubiquitin protein ligase, putative"
"LBRM2904_35.4790 (old tag= LbrM.35.4630)","LmjF.36.4390","gamma-tubulin complex subunit, putative"
"LBRM2904_35.4800 (old tag= LbrM.35.4640)","LmjF.36.4400","ATP-dependent DEAD/H RNA helicase, putative"
"LBRM2904_35.4810 (old tag= LbrM.35.4650)","LmjF.36.4410","hypothetical protein, conserved"
"LBRM2904_35.4820 (old tag= LbrM.35.4660)","LmjF.36.4420","60S ribosomal protein L22, putative"
"LBRM2904_35.4830 (old tag= LbrM.35.4670)","LmjF.36.4430","asparaginase-like protein"
"LBRM2904_35.4840 (old tag= LbrM.35.4680)","LmjF.36.4440","hypothetical protein, conserved"
"LBRM2904_35.4850 (old tag= LbrM.35.4690)","LmjF.36.4450","mitochondrial intermediate peptidase, putative"
"LBRM2904_35.4860 (old tag= LbrM.35.4700)","LmjF.36.4460","hypothetical protein, conserved"
"LBRM2904_35.4870 (old tag= LbrM.35.4710)","LmjF.36.4470","chaperone protein DNAj, putative"
"LBRM2904_35.4880 (old tag= LbrM.35.4720)","LmjF.36.4480","amino acid transporter, putative"
"LBRM2904_35.4890 (old tag= -)","-","hypothetical protein"
"LBRM2904_35.4900 (old tag= LbrM.35.4730)","LmjF.36.4490","Mitochondrial N(5)-glutamine methyltransferase MTQ1, putative"
"LBRM2904_35.4910 (old tag= LbrM.35.4740)","LmjF.36.4500","Protein of unknown function (DUF2870), putative"
"LBRM2904_35.4920 (old tag= LbrM.35.4750)","LmjF.36.4510","60S ribosomal protein L18, putative"
"LBRM2904_35.4930 (old tag= LbrM.35.4760)","LmjF.36.4520","hypothetical protein, conserved"
"LBRM2904_35.4940 (old tag= -)","-","hypothetical protein"
"LBRM2904_35.4950 (old tag= LbrM.35.4770)","LmjF.36.4530","ABC1 protein, putative"
"LBRM2904_35.4960 (old tag= LbrM.35.4790)","LmjF.36.4550","related to elongation factor-2 kinase efk-1b isoform-like protein"
"LBRM2904_35.4970 (old tag= LbrM.35.4800)","LmjF.36.4700","myosin heavy chain kinase a-like protein"
"LBRM2904_35.4980 (old tag= LbrM.35.4830)","LmjF.36.4580","hypothetical protein, conserved"
"LBRM2904_35.4990 (old tag= LbrM.35.4840)","LmjF.36.4590","hypothetical protein, conserved"
"LBRM2904_35.5000 (old tag= LbrM.35.4850)","LmjF.36.4600","hypothetical protein, conserved"
"LBRM2904_35.5010 (old tag= LbrM.35.4860)","LmjF.36.4610","hypothetical protein, conserved"
"LBRM2904_35.5020 (old tag= LbrM.35.4870)","LmjF.36.4620","hypothetical protein, conserved"
"LBRM2904_35.5030 (old tag= LbrM.35.4880)","LmjF.36.4630","Ham1 family, putative"
"LBRM2904_35.5040 (old tag= LbrM.35.4890)","LmjF.36.4640","Esterase PHB depolymerase/Prolyl oligopeptidase family/Phospholipase/Carboxylesterase, putative"
"LBRM2904_35.5050 (old tag= LbrM.35.4900)","LmjF.36.4650","60S acidic ribosomal protein, putative"
"LBRM2904_35.5060 (old tag= LbrM.35.4910)","LmjF.36.4660","Vacuolar sorting protein 9 (VPS9) domain containing protein, putative"
"LBRM2904_35.5070 (old tag= LbrM.35.4920)","LmjF.36.4670","hypothetical protein, conserved"
"LBRM2904_35.5080 (old tag= LbrM.35.4930)","LmjF.36.4675","cytochrome b5 1, putative"
"LBRM2904_35.5090 (old tag= LbrM.35.4940)","LmjF.36.4680","hypothetical protein, conserved"
"LBRM2904_35.5100 (old tag= LbrM.35.4950)","LmjF.36.4690","Alpha/beta hydrolase family, putative"
"LBRM2904_35.5110 (old tag= LbrM.35.4960)","LmjF.36.4710","WD domain, G-beta repeat, putative"
"LBRM2904_35.5120 (old tag= -)","-","hypothetical protein"
"LBRM2904_35.5130 (old tag= LbrM.35.4970)","LmjF.36.4720","methionine synthase reductase, mitochondrial precursor-like protein"
"LBRM2904_35.5140 (old tag= LbrM.35.4980)","LmjF.36.4730","hypothetical protein, conserved"
"LBRM2904_35.5150 (old tag= LbrM.35.4980)","LmjF.36.4730","hypothetical protein, conserved"
"LBRM2904_35.5160 (old tag= -)","-","hypothetical protein"
"LBRM2904_35.5170 (old tag= LbrM.35.4990)","LmjF.36.4740","hypothetical protein, conserved"
"LBRM2904_35.5180 (old tag= LbrM.35.5000)","LmjF.36.4750","PIG-P, putative"
"LBRM2904_35.5190 (old tag= LbrM.35.5010)","LmjF.36.4760","hypothetical protein, conserved"
"LBRM2904_35.5200 (old tag= LbrM.35.5020)","LmjF.36.4770","mitochondrial RNA binding complex 1 subunit, putative"
"LBRM2904_35.5210 (old tag= LbrM.35.5030)","LmjF.36.4780","paraflagellar rod component, putative"
"LBRM2904_35.5220 (old tag= LbrM.35.5040)","LmjF.36.4790","hypothetical protein, conserved"
"LBRM2904_35.5230 (old tag= LbrM.35.5050)","LmjF.36.4800","Spermine/spermidine synthase, putative"
"LBRM2904_35.5240 (old tag= LbrM.35.5060)","LmjF.36.4810","PPR repeat/Pentatricopeptide repeat domain/PPR repeat family, putative"
"LBRM2904_35.5250 (old tag= LbrM.35.5070)","LmjF.36.4820","WD domain, G-beta repeat, putative"
"LBRM2904_35.5260 (old tag= LbrM.35.5080)","LmjF.36.4830","hypothetical protein, conserved"
"LBRM2904_35.5270 (old tag= LbrM.35.5090)","LmjF.36.4840","Leucine Rich repeat, putative"
"LBRM2904_35.5280 (old tag= LbrM.35.5100)","LmjF.36.4850","hypothetical protein, conserved"
"LBRM2904_35.5290 (old tag= LbrM.35.5110)","LmjF.36.4860","hypothetical protein, conserved"
"LBRM2904_35.5300 (old tag= LbrM.35.5130)","LmjF.36.4890","Leucine rich repeat, putative"
"LBRM2904_35.5310 (old tag= LbrM.35.5140)","LmjF.36.4895","exosome-associated protein 4, putative"
